\frac{-2}{3} \left(-1.4x-8.3+8.3+\frac{1}{8} x\right)=-2.6x+5.3-8.8x+5,linear_equation
\frac{1}{2}-8x=0,linear_equation
-7\left(9-3x+\frac{7}{2}+8.6x\right),distributor_expression
3.4+8.1x,linear_expression
-8+\frac{3}{5} x=0,linear_equation
\frac{6}{5} \left(-x-\frac{8}{7}+3+9x\right)-7\left(-2.8-9x-7x-0.7\right),distributor_expression
3.8\left(1.6+2x\right)+4.3\left(7.4x-\frac{9}{5}\right),distributor_expression
-6\left(\frac{5}{7}+4x+9x-2.4\right)-3\left(2.4-7.4x\right),distributor_expression
8.4x+8.6-\frac{7}{5}-\frac{8}{5} x=-1.3-0.8x-\frac{7}{9}-\frac{8}{9} x,linear_equation
6\left(-3.4x-4\right)+4.7\left(\frac{5}{4} x+1+1.1+5x\right),distributor_expression
6\left(0.1x+2\right)=4+6x-\frac{9}{7}+5x,linear_equation
\frac{-1}{2}-3x+1.4x-3=0,linear_equation
-\left(-7-\frac{5}{8} x\right)=1.4+7x,linear_equation
9\left(\frac{-5}{8} x+5\right)-4.3\left(-5+6.9x+2x+2\right),distributor_expression
\frac{-7}{8} x+\frac{7}{5},linear_expression
-8.1\left(-6.2x-\frac{8}{7}\right),distributor_expression
-5.6x-0.8-6x+3=6.5x+3,linear_equation
4.7\left(x+\frac{4}{5}\right)-\frac{9}{5} \left(\frac{7}{8} x+6+7+7.3x\right)=-8\left(-3.8x-4\right)-7\left(1.9+6x-8-7x\right),linear_equation
\frac{3}{4} \left(\frac{1}{2} x+0.7\right),distributor_expression
7\left(2.5x-4.5\right)+2\left(-9x+8\right)=-9x-\frac{7}{6}+6.1x-9,linear_equation
